date,soi,oni,nino3,pna
200703,0.2,0,-0.36,-0.12
200704,-0.1,-0.2,-0.45,0.97
200705,-0.1,-0.3,-0.76,0.03
200706,0.5,-0.4,-0.51,-0.3
200707,-0.3,-0.5,-0.63,1.65
200708,0.4,-0.8,-0.96,1.96
200709,0.2,-1.1,-1.29,1.52
200710,0.7,-1.4,-1.48,0.77
200711,0.9,-1.5,-1.71,0.65
200712,1.7,-1.6,-1.67,-0.16
200801,1.8,-1.6,-1.6,-1.06
200802,2.6,-1.4,-1.25,0.37
200803,1.4,-1.2,-0.73,-0.61
200804,0.7,-0.9,-0.47,-1.18
200805,-0.1,-0.8,-0.19,1.25
200806,0.6,-0.5,-0.04,-1.76
200807,0.3,-0.4,0.33,-0.51
200808,1,-0.3,0.54,0.89
200809,1.2,-0.3,0.03,0.89
200810,1.3,-0.4,-0.02,1.11
200811,1.3,-0.6,-0.15,1.05
200812,1.4,-0.7,-0.63,-1.71
200901,1.1,-0.8,-0.62,0.13
200902,1.9,-0.7,-0.49,-1.57
200903,0.4,-0.5,-0.76,-1.29
200904,0.8,-0.2,-0.07,-0.04
200905,-0.1,0.1,0.34,-0.43
200906,0.1,0.4,0.71,0.48
200907,0.2,0.5,0.89,0.72
200908,-0.2,0.5,0.72,0.62
200909,0.3,0.7,0.76,1.03
200910,-1.2,1,0.78,0.64
200911,-0.6,1.3,1.19,0.19
200912,-0.7,1.6,1.47,0.04
201001,-1.1,1.5,1.1,0.96
201002,-1.5,1.3,0.79,0.48
201003,-0.7,0.9,0.61,1.68
201004,1.2,0.4,0.53,1.26
201005,0.9,-0.1,-0.01,-0.73
201006,0.4,-0.6,-0.53,-0.1
201007,1.8,-1,-0.84,0.89
201008,1.8,-1.4,-1.07,1.07
201009,2.2,-1.6,-1.34,1.07
201010,1.7,-1.7,-1.7,2.15
201011,1.3,-1.7,-1.56,-0.81
201012,2.9,-1.6,-1.55,-2.08
201101,2.3,-1.4,-1.41,1
201102,2.7,-1.1,-0.84,-2.41
201103,2.5,-0.8,-0.77,0.38
201104,1.9,-0.6,-0.36,-1.78
201105,0.4,-0.5,-0.23,0.25
201106,0.2,-0.4,0.09,0.35
201107,1,-0.5,0.06,-0.75
201108,0.4,-0.7,-0.4,1.4
201109,1,-0.9,-0.68,-0.39
201110,0.8,-1.1,-0.98,0.86
201111,1.1,-1.1,-1.04,-0.76
201112,2.5,-1,-0.79,0.06
201201,1.1,-0.8,-0.73,0.13
201202,0.5,-0.6,-0.14,0.7
201203,0.7,-0.5,-0.15,-0.19
201204,-0.3,-0.4,0,-0.09
201205,0,-0.2,0.01,-0.29
201206,-0.4,0.1,0.5,-0.42
201207,0,0.3,0.83,-0.57
201208,-0.2,0.3,0.75,-0.2
201209,0.2,0.3,0.39,-0.39
201210,0.3,0.2,0.04,-1.13
201211,0.3,0,0.17,-1.06
201212,-0.6,-0.2,-0.28,-1.31
201301,-0.1,-0.4,-0.59,0.05
201302,-0.2,-0.3,-0.45,0.3
201303,1.5,-0.2,0.04,-0.26
201304,0.2,-0.2,-0.11,-1.76
201305,0.8,-0.3,-0.67,-0.24
201306,1.2,-0.3,-0.71,-0.35
201307,0.8,-0.4,-0.56,-0.71
201308,0.2,-0.4,-0.48,-0.06
201309,0.3,-0.3,-0.22,0.41
201310,-0.1,-0.2,-0.1,-0.21
201311,0.7,-0.2,-0.11,-1.14
201312,0.1,-0.3,-0.02,-1.16
201401,1.4,-0.4,-0.27,0.59
201402,0.1,-0.4,-0.65,-1.57
201403,-0.9,-0.2,-0.16,-0.5
201404,0.8,0.1,0.22,0
201405,0.5,0.3,0.55,-0.59
201406,0.2,0.2,0.91,-1.44
201407,-0.2,0.1,0.56,0.5
201408,-0.7,0,0.37,1.35
201409,-0.7,0.2,0.36,0.78
201410,-0.6,0.4,0.63,1.14
201411,-0.9,0.6,0.92,0.64
201412,-0.6,0.7,0.8,0.37
201501,-0.8,0.6,0.39,0.14
201502,0.2,0.6,0.16,0.49
201503,-0.7,0.6,0.08,-0.52
201504,0,0.8,0.75,-0.39
201505,-0.7,1,0.99,-0.05
201506,-0.6,1.2,1.54,-0.07
201507,-1.1,1.5,1.87,0.29
201508,-1.4,1.8,2.08,0.05
201509,-1.6,2.1,2.36,-0.8
201510,-1.7,2.4,2.47,2.12
201511,-0.5,2.5,2.63,-0.2
201512,-0.6,2.6,2.65,0.47
201601,-2.2,2.5,2.64,1.94
201602,-2,2.2,1.9,1.68
201603,-0.1,1.7,1.52,0.41
201604,-1.2,1,0.78,0.6
201605,0.4,0.5,0.21,-0.85
201606,0.6,0,0.11,-0.64
201607,0.4,-0.3,-0.24,0.53
201608,0.7,-0.6,-0.5,-0.91
201609,1.2,-0.7,-0.19,0.11
201610,-0.3,-0.7,-0.52,1.53
201611,-0.1,-0.7,-0.48,1.44
201612,0.3,-0.6,-0.48,-0.65
201701,0.2,-0.3,-0.09,-0.29
201702,-0.1,-0.1,0.4,-0.05
201703,0.9,0.1,0.24,-0.03
201704,-0.2,0.3,0.42,0.14
201705,0.3,0.4,0.31,-0.19
201706,-0.4,0.4,0.06,1.18
201707,0.8,0.1,0.08,1.33
201708,0.5,-0.1,-0.37,0.2
