date,soi,oni,nino3,pna
196312,-1.2,1.3,0.96,1.46
196401,-0.4,1.1,0.44,-0.44
196402,0,0.6,0.03,1.36
196403,1.1,0.1,-0.36,-1.31
196404,1.1,-0.3,-1.03,-1.3
196405,0.2,-0.6,-1.38,-2.27
196406,0.8,-0.6,-1.23,0.27
196407,0.6,-0.6,-0.65,0.2
196408,1.5,-0.7,-1.03,0.83
196409,1.3,-0.8,-0.77,0.92
196410,1.3,-0.8,-0.92,0.8
196411,0.2,-0.8,-0.93,-0.78
196412,-0.3,-0.8,-1.13,-2.03
196501,-0.4,-0.6,-0.7,-0.92
196502,0.4,-0.3,-0.36,-1.03
196503,0.8,-0.1,-0.17,-0.8
196504,-0.5,0.2,0.1,-1.07
196505,0.2,0.5,0.54,-0.42
196506,-0.6,0.8,0.71,1.89
196507,-1.8,1.2,0.94,-1.26
196508,-0.7,1.5,1.32,0.32
196509,-1.3,1.9,1.25,0.36
196510,-0.9,2,1.37,1.42
196511,-1.5,2,1.43,-0.81
196512,0.2,1.7,1.3,-1.56
196601,-1.3,1.4,1.12,-0.15
196602,-0.2,1.2,0.51,-2.05
196603,-0.9,1,0.05,0.43
196604,-0.2,0.7,-0.02,-0.54
196605,-0.4,0.4,-0.6,-0.15
196606,0.3,0.2,-0.32,0.1
196607,0.1,0.2,-0.18,-1.18
196608,0.6,0.1,-0.5,1.26
196609,-0.2,-0.1,-0.44,0.63
196610,-0.1,-0.1,-0.31,-0.61
196611,0,-0.2,-0.7,-1.96
196612,-0.3,-0.3,-0.69,-0.21
196701,1.7,-0.4,-0.49,-1.16
196702,1.7,-0.5,-0.42,-0.2
196703,1.2,-0.5,-0.47,-2.25
196704,0,-0.4,-0.69,-1.91
196705,0,-0.2,-0.41,-0.8
196706,0.6,0,-0.12,-0.33
196707,0.2,0,-0.42,-1.24
196708,0.7,-0.2,-0.71,-0.35
196709,0.5,-0.3,-0.95,0.11
196710,0.1,-0.4,-0.96,1.1
196711,-0.4,-0.3,-0.92,-0.35
196712,-0.6,-0.4,-0.85,-1.12
196801,0.5,-0.6,-1.16,-1.78
196802,1.3,-0.7,-1.32,1.11
196803,0.1,-0.6,-1.18,0.13
196804,0,-0.4,-0.7,-1.11
196805,1.2,0,-0.85,0.23
196806,1.1,0.3,-0.09,-0.08
196807,0.7,0.6,0.26,-0.04
196808,0.3,0.5,0.38,1.3
196809,-0.3,0.4,0.29,-0.87
196810,-0.1,0.5,0.26,0.45
196811,-0.3,0.7,0.37,0.83
196812,0.2,1,0.56,-1.74
196901,-1.5,1.1,0.37,-2.96
196902,-0.5,1.1,0.32,-1.97
196903,0.4,0.9,0.42,0.47
196904,-0.4,0.8,0.36,0.48
196905,-0.2,0.6,0.65,1.02
196906,0.2,0.4,0.67,2.11
196907,-0.5,0.4,0.3,0.51
196908,-0.1,0.5,0.6,-0.69
196909,-1,0.8,0.68,1.31
196910,-0.9,0.9,0.82,0.55
196911,-0.1,0.8,0.85,0.13
196912,0.4,0.6,0.86,1.53
197001,-1.1,0.5,0.66,0.12
197002,-1,0.3,0.13,1.01
197003,0.6,0.3,-0.1,0.49
197004,-0.1,0.2,-0.24,-0.66
197005,0.4,0,-0.62,-0.5
197006,1,-0.3,-0.86,0.23
197007,-0.4,-0.6,-1.68,0.74
197008,0.6,-0.8,-1.49,-0.6
197009,1.2,-0.8,-1.07,-0.39
197010,1,-0.7,-0.87,-0.95
197011,1.6,-0.9,-1.15,-1.15
197012,1.9,-1.1,-1.26,-1.09
197101,0.4,-1.4,-1.31,-2.43
197102,2,-1.4,-1.42,-0.16
197103,2.3,-1.1,-1.17,-0.28
197104,1.7,-0.8,-0.78,0.23
197105,0.9,-0.7,-0.87,1.09
197106,0.4,-0.7,-0.81,0.51
197107,0.2,-0.8,-0.62,-1.74
197108,1.5,-0.8,-0.81,-0.81
197109,1.4,-0.8,-0.76,0.15
197110,1.7,-0.9,-1.08,-1.35
197111,0.5,-1,-1.09,-0.26
197112,0.3,-0.9,-1.15,-1.76
197201,0.5,-0.7,-0.57,-2.46
197202,1.1,-0.4,-0.32,-2.27
197203,0.6,0.1,-0.2,-0.1
197204,-0.1,0.4,0.32,-1.95
197205,-1.6,0.7,0.49,0.21
197206,-0.5,0.9,0.93,-0.15
197207,-1.4,1.1,1.33,-1.13
197208,-0.5,1.4,2.02,-0.04
197209,-1.4,1.6,1.64,0.13
197210,-0.9,1.8,1.92,-1.49
197211,-0.3,2.1,2.15,0.53
197212,-1.3,2.1,2.44,-0.86
197301,-0.3,1.8,1.62,-0.88
197302,-1.4,1.2,0.81,-0.14
197303,0.7,0.5,0.31,0.53
197304,0.1,-0.1,-0.33,0.11
197305,0.4,-0.5,-0.89,0.67
197306,1.1,-0.9,-0.96,1.01
197307,0.6,-1.1,-1.25,-0.26
197308,1.3,-1.3,-1.22,-0.95
197309,1.2,-1.5,-1.18,-0.27
197310,0.8,-1.7,-1.35,-0.74
197311,2.6,-1.9,-1.59,-1.66
197312,1.8,-2,-1.6,0.23
197401,2.4,-1.8,-1.58,-1.54
197402,2.1,-1.6,-1.19,-1.5
197403,2.4,-1.2,-0.94,-1.1
197404,0.9,-1,-0.57,-0.73
197405,1,-0.9,-0.37,-0.4
197406,0.4,-0.8,-0.22,-1.36
197407,1.1,-0.5,-0.22,-0.09
197408,0.8,-0.4,0.04,0.9
197409,1.1,-0.4,-0.23,0.35
197410,0.9,-0.6,-0.63,0.93
197411,-0.1,-0.8,-0.75,0.53
197412,0.2,-0.6,-0.74,0.38
197501,-0.5,-0.5,-0.44,-1.2
197502,0.8,-0.6,-0.5,-0.51
197503,1.6,-0.7,-0.44,-0.81
197504,1.2,-0.7,-0.27,-0.67
197505,0.6,-0.8,-0.93,0.6
197506,1.3,-1,-1.1,-0.31
197507,1.9,-1.1,-0.88,-1.53
197508,2,-1.2,-0.63,-1.1
197509,2.1,-1.4,-1.06,-0.23
197510,1.7,-1.4,-1.22,-0.65
197511,1.2,-1.6,-1.22,-0.63
197512,2.1,-1.7,-1.54,-0.16
197601,1.4,-1.6,-1.65,-0.25
197602,1.7,-1.2,-1.02,-2.38
197603,1.7,-0.7,-0.57,-1.78
197604,0.3,-0.5,-0.23,0.92
197605,0.4,-0.3,-0.07,0.58
197606,0.3,0,0.61,-1.32
197607,-0.9,0.2,0.85,-0.12
