,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
460,CITYOFOMAHA-NE.GOV,City,Non-Federal Agency,Omaha,NE,41.2586086,-95.93778875
591,CRETE-NE.GOV,City,Non-Federal Agency,Crete,NE,40.62777808,-96.96141641
834,FREMONTNE.GOV,City,Non-Federal Agency,Fremont,NE,41.4333281,-96.49807903
1365,MILFORDNE.GOV,City,Non-Federal Agency,Milford,NE,40.77444706,-97.0505895
1455,NEBRASKACITYNE.GOV,City,Non-Federal Agency,Nebraska City,NE,40.67666624,-95.85916722
1515,NORFOLKNE.GOV,City,Non-Federal Agency,Norfolk,NE,42.0283373,-97.41699648
1573,OGALLALA-NE.GOV,City,Non-Federal Agency,Ogallala,NE,41.12804819,-101.7196182
1580,OMAHA-NE.GOV,City,Non-Federal Agency,Omaha,NE,41.2586086,-95.93778875
