,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
198,BOISEIDAHO.GOV,City,Non-Federal Agency,Boise,ID,43.61349713,-116.2034459
1050,IDAHOFALLSIDAHO.GOV,City,Non-Federal Agency,Idaho Falls,ID,43.46657617,-112.0341384
1126,KUNAID.GOV,City,Non-Federal Agency,Kuna,ID,43.49182793,-116.42011969999999
1704,PRIESTRIVER-ID.GOV,City,Non-Federal Agency,Priest River,ID,48.18073585,-116.9093568
1930,SPIRITLAKEID.GOV,City,Non-Federal Agency,Spirit Lake,ID,47.96628938,-116.86852739999999
1974,SUGARCITYIDAHO.GOV,City,Non-Federal Agency,Sugar City,ID,43.87296661,-111.74829679999999
