,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
166,BERTHOLD-ND.GOV,City,Non-Federal Agency,Berthold,ND,48.3130691,-101.73710809999999
184,BISMARCKND.GOV,City,Non-Federal Agency,Bismarck,ND,46.80832613,-100.7837372
269,BURLINGTONND.GOV,City,Non-Federal Agency,Burlington,ND,48.27528596,-101.4287775
406,CITYOFFARGO-ND.GOV,City,Non-Federal Agency,Fargo,ND,46.87718802,-96.78979714
775,FARGO-ND.GOV,City,Non-Federal Agency,Fargo,ND,46.87718802,-96.78979714
776,FARGOND.GOV,City,Non-Federal Agency,Fargo,ND,46.87718802,-96.78979714
2230,WESTFARGOND.GOV,City,Non-Federal Agency,Bismarck,ND,46.80832613,-100.7837372
