,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
393,CITYOFCHOTEAU-MT.GOV,City,Non-Federal Agency,Choteau,MT,47.81244803,-112.18362859999999
755,EUREKA-MT.GOV,City,Non-Federal Agency,Eureka,MT,48.8799558,-115.05349650000001
841,FROMBERG-MT.GOV,City,Non-Federal Agency,Fromberg,MT,45.3921668,-108.90652890000001
984,HELENAMT.GOV,City,Non-Federal Agency,Helena,MT,46.59270976,-112.0361092
1382,MISSOULA-MT.GOV,City,Non-Federal Agency,Missoula,MT,46.87214847,-113.993998
1637,PHILIPSBURGMT.GOV,City,Non-Federal Agency,Philipsburg,MT,46.33214689,-113.2942291
