,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
724,ELKOCITYNV.GOV,City,Non-Federal Agency,Elko,NV,40.83241992,-115.7631195
771,FALLONNEVADA.GOV,City,Non-Federal Agency,Fallon,NV,39.47352701,-118.77736599999999
858,GARDNERVILLE-NV.GOV,City,Non-Federal Agency,Gardnerville,NV,38.94129623,-119.7496172
986,HENDERSONNEVADA.GOV,City,Non-Federal Agency,Henderson,NV,36.03969722,-114.9819393
987,HENDERSONNV.GOV,City,Non-Federal Agency,Henderson,NV,36.03969722,-114.9819393
1158,LASVEGASNEVADA.GOV,City,Non-Federal Agency,Las Vegas,NV,36.17496871,-115.137216
1340,MESQUITENV.GOV,City,Non-Federal Agency,Mesquite,NV,36.80552926,-114.0671885
1739,RENO.GOV,City,Non-Federal Agency,Reno,NV,39.52962803,-119.81379950000002
1740,RENONV.GOV,City,Non-Federal Agency,Reno,NV,39.52962803,-119.81379950000002
