SALE TYPE,SOLD DATE,PROPERTY TYPE,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Mobile/Manufactured Home,Portland,OR,97217.0,95000.0,3.0,2.0,HAYDEN ISLAND / JANTZEN BEACH,1403.0,,2006.0,1.0,68.0,603.0,Active,,,RMLS,18405495,N,Y,45.61015856349525,-122.69282683650474
MLS Listing,,Vacant Land,Portland,OR,97216.0,95000.0,,,MONTAVILLA,,2613.0,,98.0,,,Active,,,RMLS,18309144,N,Y,45.55064036761867,-122.53798293238133
MLS Listing,,Mobile/Manufactured Home,Milwaukie,OR,97222.0,95000.0,3.0,2.0,"Milwaukie, Gladstone, Happy Valley, Clckmas, Dmscus, Estacada",1498.0,,1993.0,69.0,63.0,658.0,Active,,,RMLS,18306217,N,Y,45.471612816261874,-122.56434988373812
MLS Listing,,Vacant Land,Portland,OR,97203.0,98000.0,,,Portland North,,5662.0,,120.0,,,Active,,,RMLS,18672904,N,Y,45.59931201269737,-122.74567768730263
MLS Listing,,Condo/Co-op,Portland,OR,97219.0,99900.0,1.0,1.0,SW Portland,664.0,,1973.0,35.0,150.0,450.0,Active,,,RMLS,18241018,N,Y,45.45580356135847,-122.71396523864152
MLS Listing,,Vacant Land,Milwaukie,OR,97267.0,100000.0,,,OAK GROVE 02,,6969.0,,182.0,,,Active,,,RMLS,18318183,N,Y,45.42845960266451,-122.63400539733549
MLS Listing,,Vacant Land,Portland,OR,97220.0,100000.0,,,Olympus Estates,,7840.0,,90.0,,,Active,,,RMLS,18265673,N,Y,45.56415226360548,-122.54497383639452
MLS Listing,,Mobile/Manufactured Home,Portland,OR,97217.0,108500.0,3.0,2.0,JANTZEN BEACH/HAYDEN ISLAND,1512.0,,2005.0,128.0,72.0,,Active,,,RMLS,18454285,N,Y,45.60291332134734,-122.70661617865267
MLS Listing,,Vacant Land,Portland,OR,97266.0,109900.0,,,POWELLHURST - GILBERT,,23958.0,,96.0,,,Active,,,RMLS,18280433,N,Y,45.515534197079745,-122.53662280292026
MLS Listing,,Vacant Land,Portland,OR,97221.0,110000.0,,,Greenhills,,6969.0,,76.0,,,Active,,,RMLS,18010661,N,Y,45.49411888106241,-122.72738811893758
MLS Listing,,Vacant Land,Portland,OR,97236.0,110000.0,,,Portland Southeast,,17859.0,,35.0,,,Active,,,RMLS,18530453,N,Y,45.48905630932729,-122.52025399067273
MLS Listing,,Vacant Land,Milwaukie,OR,97267.0,110000.0,,,"Milwaukie, Gladstone, Happy Valley, Clckmas, Dmscus, Estacada",,10018.0,,6.0,,,Active,,,RMLS,18445998,N,Y,45.4477704641992,-122.58228953580081
MLS Listing,,Condo/Co-op,Portland,OR,97236.0,110000.0,1.0,1.0,Portland Southeast,720.0,,1974.0,52.0,153.0,319.0,Active,,,RMLS,18512682,N,Y,45.51287092969291,-122.5117284703071
MLS Listing,,Vacant Land,Milwaukie,OR,97267.0,110000.0,,,"Milwaukie, Gladstone, Happy Valley, Clckmas, Dmscus, Estacada",,10454.0,,6.0,,,Active,,,RMLS,18604442,N,Y,45.43205875930278,-122.59811924069723
MLS Listing,,Vacant Land,Portland,OR,97221.0,110000.0,,,Shattuck,,13939.0,,670.0,,,Active,,,RMLS,16548499,N,Y,45.52892715792326,-122.72216284207673
MLS Listing,,Vacant Land,Portland,OR,97236.0,114900.0,,,Portland Southeast,,10890.0,,108.0,,,Active,,,RMLS,18558135,N,Y,45.53252601015019,-122.49858558984981
MLS Listing,,Vacant Land,Portland,OR,97205.0,114900.0,,,"Portland West, Raleigh Hills",,10018.0,,184.0,,,Active,,,RMLS,18013298,N,Y,45.520500347673284,-122.71203865232673
MLS Listing,,Vacant Land,Portland,OR,97221.0,115000.0,,,"Portland West, Raleigh Hills",,14374.0,,2281.0,,,Active,,,RMLS,12116025,N,Y,45.52220290573853,-122.71176209426147
MLS Listing,,Condo/Co-op,Portland,OR,97236.0,115000.0,1.0,1.0,Portland Southeast,720.0,,1974.0,6.0,160.0,319.0,Active,,,RMLS,18589560,N,Y,45.540303705326394,-122.48435439467362
MLS Listing,,Vacant Land,Portland,OR,97201.0,119000.0,,,"Portland West, Raleigh Hills",,16117.0,,227.0,,,Active,,,RMLS,18039938,N,Y,45.50648492302182,-122.69535907697818
MLS Listing,,Vacant Land,Portland,OR,97201.0,119000.0,,,"Portland West, Raleigh Hills",,11325.0,,227.0,,,Active,,,RMLS,18096035,N,Y,45.52030092941143,-122.68221807058858
MLS Listing,,Vacant Land,Portland,OR,97231.0,120000.0,,,Waldemere,,6969.0,,76.0,,,Active,,,RMLS,18143609,N,Y,45.59886248424387,-122.77809051575613
MLS Listing,,Vacant Land,Portland,OR,97231.0,120000.0,,,Waldemere,,6969.0,,76.0,,,Active,,,RMLS,18551865,N,Y,45.618128788131216,-122.75906121186877
MLS Listing,,Vacant Land,Portland,OR,97219.0,124900.0,,,"Portland West, Raleigh Hills",,9583.0,,2478.0,,,Active,,,RMLS,11586210,N,Y,45.46098619924062,-122.69412080075938
MLS Listing,,Vacant Land,Portland,OR,97219.0,125000.0,,,"Portland West, Raleigh Hills",,4791.0,,51.0,,,Active,,,RMLS,18192971,N,Y,45.47591656339243,-122.67151343660757
MLS Listing,,Vacant Land,Portland,OR,97219.0,125000.0,,,MAPLEWOOD,,7840.0,,87.0,,,Active,,,RMLS,18409513,N,Y,45.49825419266074,-122.69808880733926
