SALE TYPE,SOLD DATE,PROPERTY TYPE,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,Tigard,OR,97224,624900,5.0,3.5,"Tigard, Tualatin, Sherwood, Wilsonville",3809.0,5662.0,2006.0,14.0,164.0,122.0,Active,September-22-2018 12:00 PM,September-22-2018 02:00 PM,RMLS,18500611,N,Y,45.415792682837164,-122.84148271716282
MLS Listing,,Single Family Residential,Tigard,OR,97224,545000,3.0,2.5,"Tigard, Tualatin, Sherwood, Wilsonville",2743.0,3920.0,2004.0,14.0,199.0,70.0,Active,,,RMLS,18158997,N,Y,45.4145273060236,-122.79853679397641
MLS Listing,,Single Family Residential,Portland,OR,97219,650000,4.0,3.0,Southview,3622.0,13939.0,1954.0,15.0,179.0,,Active,September-23-2018 01:30 PM,September-23-2018 04:30 PM,RMLS,18093068,N,Y,45.432770237219316,-122.74522256278068
MLS Listing,,Townhouse,Tigard,OR,97223,389000,3.0,2.5,HILLSHIRE CREEK ESTATES,1963.0,2613.0,2001.0,15.0,198.0,,Active,,,RMLS,18274169,N,Y,45.42752592248525,-122.82618147751477
MLS Listing,,Single Family Residential,Tigard,OR,97223,519900,4.0,2.5,"Tigard, Tualatin, Sherwood, Wilsonville",2334.0,5662.0,2007.0,16.0,223.0,,Active,,,RMLS,18363380,N,Y,45.4614848649937,-122.74570173500628
MLS Listing,,Single Family Residential,Portland,OR,97223,500000,3.0,2.0,Metzger,2841.0,19166.0,1957.0,16.0,176.0,,Active,,,RMLS,18109137,N,Y,45.45169444746125,-122.75625155253876
MLS Listing,,Single Family Residential,Tigard,OR,97223,570000,4.0,2.5,SW Portland/Tigard,2777.0,9147.0,2005.0,16.0,205.0,,Active,,,RMLS,18217493,N,Y,45.447214356519524,-122.75536024348047
MLS Listing,,Single Family Residential,Tigard,OR,97223,398000,3.0,2.0,BULL MOUNTAIN MEADOWS,1412.0,5227.0,1995.0,20.0,282.0,5.0,Active,,,RMLS,18428463,N,Y,45.42195672445994,-122.84430317554006
MLS Listing,,Single Family Residential,Portland,OR,97223,474900,4.0,2.5,"Portland West, Raleigh Hills",2373.0,6969.0,2008.0,20.0,200.0,,Active,September-23-2018 01:00 PM,September-23-2018 04:00 PM,RMLS,18017989,N,Y,45.464281268659896,-122.75581863134012
MLS Listing,,Single Family Residential,Portland,OR,97219,489900,3.0,2.0,"Portland West, Raleigh Hills",2986.0,9583.0,1955.0,20.0,164.0,,Active,,,RMLS,18040479,N,Y,45.45462165449018,-122.73951444550981
MLS Listing,,Single Family Residential,Tigard,OR,97224,579900,4.0,2.0,"Tigard, Tualatin, Sherwood, Wilsonville",2204.0,10018.0,1992.0,22.0,263.0,,Active,,,RMLS,18584100,N,Y,45.43017059209861,-122.80745500790138
MLS Listing,,Single Family Residential,Tigard,OR,97223,550000,5.0,2.0,"Tigard, Tualatin, Sherwood, Wilsonville",2236.0,16988.0,1955.0,24.0,246.0,,Active,,,RMLS,18212975,N,Y,45.453192628318746,-122.76686647168125
MLS Listing,,Single Family Residential,Tigard,OR,97223,609000,4.0,2.5,CPO 4B BULL MTN,2453.0,9147.0,1997.0,24.0,248.0,,Active,,,RMLS,18119754,N,Y,45.47483938394199,-122.781011316058
MLS Listing,,Single Family Residential,Portland,OR,97210,569000,3.0,2.5,"Portland West, Raleigh Hills",2066.0,23522.0,1971.0,24.0,275.0,,Active,,,RMLS,18586803,N,Y,45.44678968485583,-122.76924531514418
MLS Listing,,Single Family Residential,Portland,OR,97223,769900,4.0,3.5,GARDEN HOME - RALEIGH HILLS,3377.0,,2007.0,26.0,228.0,93.0,Active,,,RMLS,18056542,N,Y,45.49137430605258,-122.72316569394741
MLS Listing,,Single Family Residential,Portland,OR,97223,459500,3.0,2.5,"Portland West, Raleigh Hills",1793.0,4356.0,1996.0,27.0,256.0,,Active,,,RMLS,18448109,N,Y,45.458376969106645,-122.75443973089335
MLS Listing,,Single Family Residential,Tigard,OR,97224,389900,3.0,2.0,"Tigard, Tualatin, Sherwood, Wilsonville",1382.0,5662.0,1992.0,27.0,282.0,,Active,September-23-2018 01:00 PM,September-23-2018 02:00 PM,RMLS,18346336,N,Y,45.418677880881695,-122.7866703191183
MLS Listing,,Single Family Residential,Portland,OR,97219,599900,3.0,2.5,"Portland West, Raleigh Hills",2537.0,10018.0,2006.0,27.0,236.0,,Active,,,RMLS,18193927,N,Y,45.46164473230859,-122.71945906769143
MLS Listing,,Condo/Co-op,Tigard,OR,97224,245000,2.0,2.0,"Tigard, Tualatin, Sherwood, Wilsonville",1042.0,,1992.0,28.0,235.0,300.0,Active,,,RMLS,18195383,N,Y,45.44719903722913,-122.76562666277087
MLS Listing,,Single Family Residential,Portland,OR,97219,385000,3.0,2.0,"Portland West, Raleigh Hills",1147.0,4791.0,1978.0,28.0,336.0,,Active,,,RMLS,18253304,N,Y,45.43815078733523,-122.74955021266474
MLS Listing,,Vacant Land,Portland,OR,97219,225000,,,Ash Creek Woods,,10454.0,,30.0,,,Active,,,RMLS,18650048,N,Y,45.47443960377021,-122.7201978962298
MLS Listing,,Single Family Residential,Tigard,OR,97224,499900,4.0,2.5,"Tigard, Tualatin, Sherwood, Wilsonville",2543.0,5227.0,2006.0,31.0,197.0,,Active,September-23-2018 01:00 PM,September-23-2018 03:00 PM,RMLS,18175979,N,Y,45.41432385877611,-122.83008744122388
MLS Listing,,Single Family Residential,Tigard,OR,97224,499950,4.0,2.5,BULL MOUNTAIN,2326.0,8276.0,1995.0,31.0,215.0,,Active,,,RMLS,18693167,N,Y,45.40969355201799,-122.83391344798201
