SALE TYPE,SOLD DATE,PROPERTY TYPE,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,Gresham,OR,97080,675000,4.0,3.5,"Gresham, Sandy, Troutdale, Corbett",4183.0,33541.0,1993.0,184.0,161.0,,Active,,,RMLS,18237764,N,Y,45.48757666874169,-122.36971423125833
MLS Listing,,Single Family Residential,Gresham,OR,97080,499900,5.0,3.0,"Gresham, Sandy, Troutdale, Corbett",2979.0,6098.0,2015.0,192.0,168.0,35.0,Active,,,RMLS,18672376,N,Y,45.4933987207339,-122.43483267926611
MLS Listing,,Single Family Residential,Gresham,OR,97080,429000,4.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2021.0,,2018.0,195.0,212.0,,Active,,,RMLS,18510796,N,Y,45.48169878704469,-122.38086281295531
MLS Listing,,Single Family Residential,Gresham,OR,97080,495000,3.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2580.0,,2018.0,195.0,192.0,,Active,,,RMLS,18247970,N,Y,45.47004587237456,-122.46245462762545
MLS Listing,,Single Family Residential,Gresham,OR,97080,480000,3.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2396.0,,2018.0,195.0,200.0,,Active,,,RMLS,18538109,N,Y,45.47799027485935,-122.45451022514065
MLS Listing,,Single Family Residential,Gresham,OR,97080,490000,4.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2577.0,,2018.0,195.0,190.0,,Active,,,RMLS,18570032,N,Y,45.464836019305366,-122.46766448069465
MLS Listing,,Single Family Residential,Gresham,OR,97030,310000,0.0,0.5,"Gresham, Sandy, Troutdale, Corbett",1147.0,6098.0,1972.0,199.0,270.0,,Active,,,RMLS,18492943,N,Y,45.51953039161271,-122.40462490838729
MLS Listing,,Single Family Residential,Gresham,OR,97080,644500,4.0,4.0,DEER GLEN,3953.0,8276.0,2007.0,200.0,163.0,40.0,Active,,,RMLS,18584969,N,Y,45.509105039053516,-122.3960330609465
MLS Listing,,Vacant Land,Gresham,OR,97030,115000,,,Victoria Cottages,,5227.0,,201.0,,,Active,,,RMLS,18260738,N,Y,45.51794024156092,-122.45303535843908
MLS Listing,,Multi-Family (2-4 Unit),Portland,OR,97233,625000,7.0,6.0,Portland Southeast,3716.0,,1996.0,224.0,168.0,,Active,,,RMLS,18298713,N,Y,45.540902483193534,-122.44504081680648
MLS Listing,,Single Family Residential,Gresham,OR,97080,419000,4.0,2.5,Samson Acres,2021.0,,2018.0,231.0,207.0,,Active,,,RMLS,18427782,N,Y,45.49110663227081,-122.37145496772919
MLS Listing,,Vacant Land,Gresham,OR,97080,109900,,,"Gresham, Sandy, Troutdale, Corbett",,43995.0,,245.0,,,Active,,,RMLS,17499019,N,Y,45.49075380806501,-122.38610419193498
MLS Listing,,Single Family Residential,Portland,OR,97230,147000,0.0,0.5,COLUMBIA RIDGE MARINA,,,1997.0,260.0,,295.0,Active,,,RMLS,18555707,N,Y,45.58908063648561,-122.4430193635144
MLS Listing,,Unknown,Troutdale,OR,97060,499000,,,"Gresham, Sandy, Troutdale, Corbett",,1015383.0,,261.0,,,Active,,,RMLS,18221558,N,Y,45.50467683351672,-122.3662791664833
MLS Listing,,Single Family Residential,Portland,OR,97230,295000,3.0,2.0,Portland Northeast,1512.0,8276.0,1958.0,265.0,195.0,,Active,,,RMLS,17606684,N,Y,45.5471739144064,-122.47548868559359
MLS Listing,,Single Family Residential,Portland,OR,97230,355000,4.0,3.5,Portland Northeast,1864.0,,2002.0,279.0,190.0,,Active,,,RMLS,17276089,N,Y,45.541453363395945,-122.48376653660405
MLS Listing,,Vacant Land,Gresham,OR,97080,225100,,,Hilltop View Estates,,9147.0,,287.0,,,Active,,,RMLS,17314640,N,Y,45.49082002407365,-122.39556897592635
MLS Listing,,Single Family Residential,Gresham,OR,97080,749900,5.0,3.5,"Gresham, Sandy, Troutdale, Corbett",3388.0,32234.0,2018.0,296.0,221.0,,Active,,,RMLS,17252505,N,Y,45.515943507563414,-122.41093659243656
MLS Listing,,Vacant Land,Gresham,OR,97080,178100,,,"Gresham, Sandy, Troutdale, Corbett",,10018.0,,306.0,,,Active,,,RMLS,17590298,N,Y,45.505485607432526,-122.38706309256746
MLS Listing,,Vacant Land,Gresham,OR,97080,189000,,,Hilltop View Estates,,9147.0,,307.0,,,Active,,,RMLS,17658259,N,Y,45.46422038839326,-122.42259161160673
MLS Listing,,Vacant Land,Gresham,OR,97080,47000,,,"Gresham, Sandy, Troutdale, Corbett",,20473.0,,330.0,,,Active,,,RMLS,17582832,N,Y,45.52078505509066,-122.39267694490933
MLS Listing,,Single Family Residential,Gresham,OR,97080,499899,4.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2364.0,7405.0,2017.0,346.0,211.0,,Active,,,RMLS,17071766,N,Y,45.49067181979249,-122.44297088020751
MLS Listing,,Vacant Land,Portland,OR,97230,1100000,,,"Gresham, Sandy, Troutdale, Corbett",,49658.0,,355.0,,,Active,,,RMLS,17449922,N,Y,45.51462097840863,-122.49892612159138
MLS Listing,,Single Family Residential,Fairview,OR,97024,990000,4.0,3.5,"Gresham, Sandy, Troutdale, Corbett",3986.0,10454.0,2002.0,393.0,248.0,,Active,,,RMLS,17620711,N,Y,45.55487170900383,-122.45352229099616
MLS Listing,,Single Family Residential,Gresham,OR,97230,288000,2.0,2.0,Portland Northeast,1060.0,13068.0,1927.0,414.0,272.0,,Active,,,RMLS,17569438,N,Y,45.51925218892755,-122.50111401107245
MLS Listing,,Single Family Residential,Portland,OR,97230,174000,0.0,0.5,COLUMBIA RIDGE MARINA,212.0,,2001.0,419.0,821.0,295.0,Active,,,RMLS,17002675,N,Y,45.54904808460483,-122.48305191539517
