,Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
17,AFTONWYOMING.GOV,City,Non-Federal Agency,AFTON,WY,42.72492948,-110.93186670000001
312,CASPERWY.GOV,City,Non-Federal Agency,Casper,WY,42.86662641,-106.31307609999999
395,CITYOFCODY-WY.GOV,City,Non-Federal Agency,Cody,WY,44.52633563,-109.05652759999998
500,CITYOFWORLANDWY.GOV,City,Non-Federal Agency,Worland,WY,44.01689984,-107.95536729999999
872,GILLETTEWY.GOV,City,Non-Federal Agency,Gillette,WY,44.29108751,-105.5022165
1370,MILLSWY.GOV,City,Non-Federal Agency,Mills,WY,42.84051973,-106.3658564
1645,PINEBLUFFSWY.GOV,City,Non-Federal Agency,Pine Bluffs,WY,41.18192641,-104.0691162
1766,RIVERTONWY.GOV,City,Non-Federal Agency,Riverton,WY,43.02495836,-108.3800981
2030,TORRINGTONWY.GOV,City,Non-Federal Agency,Torrington,WY,42.06245777,-104.184387
